id_empenho,id_minuta_empenho,numero_empenho,situacao_empenho,descricao_situacao_empenho,tipo_documento_empenho,descricao_tipo_documento_empenho,status_processamento_empenho,ug_responsavel_empenho,ug_emitente_empenho,descricao_ug_emitente_empenho,fonte_recurso_empenho,plano_interno_empenho,ptres_empenho,grupo_natureza_despesa_empenho,natureza_despesa_empenho,subitem_empenho,categoria_despesa_empenho,modalidade_despesa_empenho,cnpj_beneficiario_empenho,nome_beneficiario_empenho,uf_beneficiario_empenho,numero_ro_empenho,data_emissao_empenho,prioridade_desbloqueio_empenho,valor_empenho,id_plano_acao
16572,2022NME000009791,2022NE008417,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,0188000000,T.ESPECIAIS,207504.0,4,444041,21,INVESTIMENTO,40,03155926000144,MUNICIPIO DE DOURADOS,MS,2022RO008458,2022-06-10,32,1050000.0,14819
16587,2022NME000009806,2022NE006649,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,0188000000,T.ESPECIAIS,207504.0,4,444041,21,INVESTIMENTO,40,37226651000104,MUNICIPIO DE ALCINOPOLIS,MS,2022RO006690,2022-05-17,37,350000.0,14841
16589,2022NME000009808,2022NE006322,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,207461.0,4,444041,35,INVESTIMENTO,40,29138336000105,MUNICIPIO DE SAO JOAO DE MERITI,RJ,2022RO006363,2022-05-17,11,1600000.0,14844
16579,2022NME000009798,2022NE006652,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,0188000000,T.ESPECIAIS,207504.0,4,444041,21,INVESTIMENTO,40,03354560000132,MUNICIPIO DE RIO VERDE DE MATO GROSSO,MS,2022RO006693,2022-05-17,38,350000.0,14830
24788,2023NME000020337,2023NE006739,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,219113.0,3,334041,23,CUSTEIO,40,26042556000134,MUNICIPIO DE LIMEIRA DO OESTE,MG,2023RO006775,2023-07-05,24,50000.0,32796
16577,2022NME000009796,2022NE006653,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,0188000000,T.ESPECIAIS,207504.0,4,444041,21,INVESTIMENTO,40,03217916000196,MUNICIPIO DE BELA VISTA,MS,2022RO006694,2022-05-17,39,300000.0,14828
24775,2023NME000020324,2023NE006593,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,219041.0,3,334041,01,CUSTEIO,40,84306737000127,MUNICIPIO DE ACRELANDIA,AC,2023RO006629,2023-07-05,18,1629209.0,32757
26204,2023NME000021753,2023NE006704,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218838.0,4,444041,13,INVESTIMENTO,40,36388445000138,MUNICIPIO DE SANTA MARIA DE JETIBA,ES,2023RO006740,2023-07-05,28,800000.0,32437
24333,2023NME000019882,2023NE006713,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218647.0,3,333041,01,CUSTEIO,30,63606479000124,ESTADO DO ACRE,AC,2023RO006749,2023-07-05,1310630,2777870.0,31631
24338,2023NME000019887,2023NE006738,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218647.0,3,334041,01,CUSTEIO,40,84306455000120,MUNICIPIO DE RODRIGUES ALVES,AC,2023RO006774,2023-07-05,1310632,100000.0,31637
33545,2023NME000029860,2023NE008639,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,237266.0,4,444041,45,INVESTIMENTO,40,46578498000175,MUNICIPIO DE ITANHAEM,SP,2023RO008684,2023-12-13,1319306,160000.0,42229
25387,2023NME000020936,2023NE006740,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218949.0,4,444041,17,INVESTIMENTO,40,01612632000179,SANTA FILOMENA DO MARANHÃO,MA,2023RO006776,2023-07-05,21,700000.0,31281
24785,2023NME000020334,2023NE006767,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,227558.0,3,334041,35,CUSTEIO,40,29138294000102,MUNICIPIO DE PARACAMBI,RJ,2023RO006803,2023-07-05,26,1629209.0,32791
24706,2023NME000020255,2023NE006828,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218993.0,3,334041,35,CUSTEIO,40,28909604000174,MUNICIPIO DE SAO PEDRO DA ALDEIA,RJ,2023RO006864,2023-07-05,20,500000.0,32547
24803,2023NME000020352,2023NE006810,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218205.0,3,334041,15,CUSTEIO,40,02215275000178,MUNICIPIO DE MINACU,GO,2023RO006846,2023-07-05,67,100000.0,32828
16582,2022NME000009801,2022NE006655,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,0188000000,T.ESPECIAIS,207504.0,4,444041,21,INVESTIMENTO,40,03575875000100,MUNICIPIO DE IVINHEMA,MS,2022RO006696,2022-05-17,35,500000.0,14833
16584,2022NME000009803,2022NE006661,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,207504.0,4,444041,21,INVESTIMENTO,40,17361639000103,MUNICIPIO DE PARAISO DAS AGUAS,MS,2022RO006702,2022-05-17,56,200000.0,14838
16585,2022NME000009804,2022NE006662,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,207504.0,4,444041,21,INVESTIMENTO,40,24644296000141,MUNICIPIO DE JUTI,MS,2022RO006703,2022-05-17,48,250000.0,14839
16580,2022NME000009799,2022NE006669,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,207504.0,4,444041,21,INVESTIMENTO,40,03501525000107,MUNICIPIO DE CORGUINHO,MS,2022RO006710,2022-05-17,54,200000.0,14831
16583,2022NME000009802,2022NE006670,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,0188000000,T.ESPECIAIS,207504.0,4,444041,21,INVESTIMENTO,40,07158578000110,MUNICIPIO DE FIGUEIRAO,MS,2022RO006711,2022-05-17,34,500000.0,14837
16578,2022NME000009797,2022NE006671,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,207504.0,4,444041,21,INVESTIMENTO,40,03342938000188,MUNICIPIO DE INOCENCIA,MS,2022RO006712,2022-05-17,55,200000.0,14829
17278,2022NME000010497,2022NE007615,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,207610.0,4,444041,19,INVESTIMENTO,40,03788239000166,MUNICIPIO DE TANGARA DA SERRA,MT,2022RO007656,2022-05-17,38,263682.0,15749
41937,2024NME000040258,2024NE001251,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,239750.0,4,444041,39,INVESTIMENTO,40,94068418000184,MARIANA PIMENTEL,RS,2024RO001282,2024-06-26,100,300000.0,71697
41938,2024NME000040259,2024NE001259,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,239750.0,4,444041,39,INVESTIMENTO,40,87613550000164,SÃO JOSÉ DO OURO,RS,2024RO001290,2024-06-26,119,250000.0,71698
15698,2022NME000008917,2022NE007616,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,0188000000,T.ESPECIAIS,207610.0,3,334041,19,CUSTEIO,40,03788239000166,MUNICIPIO DE TANGARA DA SERRA,MT,2022RO007657,2022-05-17,32,500000.0,15749
